employee_id,age,gender,country,department,job_role,education_level,school_tier,parental_status,accented_name_flag,contracted_hours_weekly,years_at_company,manager_level,remote_ratio,performance_rating,engagement_score,training_hours,internal_mobility_count,promotion_last_3y,absenteeism_days,overtime_hours,manager_favoritism_score,visibility_score,psychological_safety_score,salary,bonus,stock_options,attrition
EMP_100000,25,Male,Canada,Data,Data Scientist,Master,Tier 2,Parent,0,35,4,0,0,2.9933853061835394,60.122452892327786,24,1,0,1,5,68.1,62.7,56.37696298664709,73993.0,5242,202,0
EMP_100001,23,Male,Germany,Sales,Sales Executive,PhD,Tier 3,No Children,0,35,0,0,100,3.6629886128419704,67.79754162893099,15,0,1,10,3,61.1,39.3,57.81813951101569,56181.0,6709,514,0
EMP_100002,34,Male,France,HR,Talent Manager,Master,Tier 2,No Children,0,35,4,0,25,2.926154599785829,77.17514433261302,53,1,0,10,0,76.0,64.8,67.896166913137,57278.0,1887,2504,0
EMP_100003,38,Male,France,Data,Data Engineer,Master,Tier 2,No Children,0,28,10,0,75,3.956916824727159,46.71874312112896,53,2,0,4,26,62.9,55.3,69.21448331524806,82949.0,7407,943,0
EMP_100004,48,Female,Germany,IT,DevOps Engineer,Bachelor,Tier 2,No Children,1,28,6,2,50,1.541376766705571,73.1827691583315,27,0,1,8,28,39.8,65.0,77.63958738659294,82354.0,1567,6782,0
EMP_100005,27,Female,USA,Finance,Accountant,Bachelor,Tier 1,No Children,1,35,2,0,100,3.7027561131019815,56.369958410645836,48,1,0,8,44,44.1,50.5,59.796513650876406,48050.0,0,205,0
EMP_100006,27,Male,Canada,IT,Backend Developer,Bachelor,Tier 1,Parent,1,35,6,2,0,3.8592219542228903,87.60714131423643,6,0,1,6,29,72.8,70.1,50.09543386915723,89931.0,8085,10751,0
EMP_100007,39,Male,UK,Operations,Operations Manager,Master,Tier 2,Parent,0,35,7,0,25,2.8999540073815426,85.37893368511106,20,2,0,4,8,56.1,59.7,68.82898290585895,61646.0,5761,2481,0
EMP_100008,33,Female,Germany,Sales,Sales Executive,Bachelor,Tier 1,Parent,0,35,12,0,75,3.5435760502719043,78.71000741138138,43,2,0,5,12,64.6,60.5,55.94261221288012,73757.0,7056,0,0
EMP_100009,37,Non-Binary,Spain,Operations,Supply Coordinator,Master,Tier 3,No Children,0,35,6,2,75,2.5999207915185636,75.72571529459071,104,2,1,4,35,52.3,66.9,56.64636452170897,82291.0,13527,4398,0
EMP_100010,31,Female,Spain,HR,HRBP,Master,Tier 2,Parent,0,35,10,0,50,4.9007608625277275,77.50878533477017,0,1,0,6,8,72.6,59.8,66.42153093489416,59761.0,0,2836,0
EMP_100011,47,Female,UK,Data,Data Scientist,Bachelor,Tier 2,Parent,0,28,7,0,50,4.555945690535642,64.43912058189997,68,0,0,4,16,36.1,52.1,82.63067651859085,74612.0,5583,0,0
EMP_100012,39,Female,Spain,Data,Data Analyst,Master,Tier 1,Parent,1,28,10,0,0,3.2694064255600686,99.66976462424378,47,2,0,10,12,58.1,77.1,63.75470251355033,,4425,2856,0
EMP_100013,49,Female,Canada,Sales,Sales Executive,Master,Tier 3,No Children,0,28,2,0,75,4.013728254966628,91.29289663758988,27,1,1,16,18,66.8,56.3,69.84166352488441,54928.0,4685,1785,0
