employee_id,age,gender,country,department,job_role,education_level,school_tier,parental_status,accented_name_flag,contracted_hours_weekly,years_at_company,manager_level,remote_ratio,performance_rating,engagement_score,training_hours,internal_mobility_count,promotion_last_3y,absenteeism_days,overtime_hours,manager_favoritism_score,visibility_score,psychological_safety_score,salary,bonus,stock_options,attrition
EMP_100000,25,Male,Canada,Data,Data Scientist,Master,Tier 2,Parent,0,35,4,0,0,3.07,76.13840065378947,26,0,0,15,3,59.4,61.9,52.1,59751.0,543,4396,0
EMP_100001,33,Female,Germany,Sales,Sales Executive,Bachelor,Tier 3,Parent,1,28,3,0,25,3.48,72.36551001893274,23,1,0,27,3,58.1,50.6,39.7,58502.0,6895,514,0
EMP_100002,34,Male,France,HR,Talent Manager,Master,Tier 2,No Children,0,28,4,0,25,3.81,81.31622689390036,51,0,0,25,3,76.0,64.8,44.8,57278.0,1887,2504,0
EMP_100003,38,Male,France,Data,Data Engineer,Master,Tier 2,No Children,0,28,10,0,75,3.96,69.30570602357257,29,0,0,20,25,79.8,54.6,33.2,72989.0,8585,986,1
EMP_100004,36,Male,Germany,IT,DevOps Engineer,Bachelor,Tier 1,No Children,0,35,10,1,100,1.84,73.1827691583315,27,0,1,9,27,38.8,52.5,68.6,81888.0,1530,1782,0
EMP_100005,27,Female,USA,Finance,Accountant,Bachelor,Tier 1,No Children,1,28,2,0,100,3.7,85.14234221772531,48,0,0,33,4,59.9,72.5,38.7,47692.0,4114,0,1
EMP_100006,22,Male,Canada,IT,Backend Developer,Master,Tier 2,Parent,0,35,1,0,25,3.15,76.34182697800948,53,1,0,11,21,72.8,56.4,45.4,,5445,751,0
EMP_100007,39,Male,UK,Operations,Operations Manager,Master,Tier 2,Parent,0,35,7,0,25,2.9,56.73230863004108,14,3,0,7,8,56.1,59.7,62.4,61646.0,5761,2481,0
EMP_100008,33,Female,Germany,Sales,Sales Executive,Bachelor,Tier 1,Parent,0,35,12,0,75,3.61,79.10511226921608,26,1,0,12,20,43.5,60.1,62.9,67732.0,5879,174,0
EMP_100009,25,Female,Spain,Operations,Supply Coordinator,Master,Tier 3,Parent,1,35,4,0,25,4.14,89.56034492500291,35,2,1,0,0,57.7,59.4,71.6,48442.0,0,1071,0
EMP_100010,27,Male,Spain,HR,HRBP,Bachelor,Tier 2,No Children,0,35,4,0,75,4.9,77.50878533477017,0,1,0,9,8,81.6,56.1,60.0,52106.0,0,2836,0
EMP_100011,47,Female,UK,Data,Data Scientist,Bachelor,Tier 2,Parent,0,28,7,0,50,4.56,74.65729142219342,48,1,0,17,16,36.1,52.1,63.8,74612.0,5583,0,1
EMP_100012,39,Female,Spain,Data,Data Analyst,Master,Tier 1,Parent,1,35,10,0,0,4.81,49.43276751759726,73,1,1,0,12,58.1,77.1,63.2,68653.0,4425,2856,0
EMP_100013,49,Female,Canada,Sales,Sales Executive,Master,Tier 3,No Children,0,35,2,0,75,4.01,76.20646071755057,31,2,0,15,18,66.8,56.3,62.9,54928.0,4685,1785,0
EMP_100014,26,Male,UK,Customer Support,Support Agent,Master,Tier 3,No Children,0,28,0,1,75,1.94,94.55647274850078,29,0,0,26,32,78.6,60.3,40.8,53354.0,6885,8463,1
EMP_100015,31,Non-Binary,Canada,Data,Data Analyst,Master,Tier 2,Parent,0,35,2,0,75,4.35,67.72230296011415,29,0,0,19,11,65.2,71.0,45.1,64010.0,7191,0,0
EMP_100016,38,Non-Binary,Germany,Marketing,Content Specialist,PhD,Tier 2,Parent,0,35,6,0,50,4.24,95.24131685365722,33,1,0,13,0,54.7,56.4,67.5,57850.0,10256,2851,0
EMP_100017,30,Male,Canada,Data,Data Scientist,Bachelor,Tier 1,No Children,1,35,0,2,100,4.98,72.43216286634775,15,2,1,0,15,57.9,64.6,69.3,83814.0,11253,10937,0
EMP_100018,33,Female,France,Finance,Controller,Master,Tier 2,Parent,0,28,0,0,100,3.63,56.7727019516517,62,2,0,23,15,59.7,60.2,62.4,41999.0,5418,3175,0
EMP_100019,22,Male,UK,Finance,Financial Analyst,Master,Tier 2,Parent,1,28,1,0,75,3.9,67.77922612047595,49,0,0,21,25,76.2,47.2,40.0,51348.0,804,1463,0
EMP_100020,54,Female,Canada,Sales,Account Manager,Bachelor,Tier 1,No Children,0,28,4,0,25,3.63,52.47136516370939,25,1,0,11,24,72.0,73.1,51.4,54892.0,6129,0,0
EMP_100021,24,Female,Spain,Marketing,SEO Manager,Bachelor,Tier 3,Parent,0,35,2,1,0,1.87,66.0812361277885,17,1,0,8,21,45.4,69.8,50.9,55570.0,5100,7731,0
EMP_100022,28,Female,Canada,Marketing,SEO Manager,Master,Tier 2,No Children,0,28,5,0,50,4.05,96.64124960705196,9,0,0,28,13,55.1,57.8,36.8,51576.0,1633,811,0
EMP_100023,35,Male,Canada,Sales,Business Developer,PhD,Tier 2,Parent,0,35,3,0,75,3.93,59.53164495095638,16,1,0,10,7,71.4,45.5,62.9,53133.0,2295,142,0
EMP_100024,45,Male,USA,Data,ML Engineer,Master,Tier 2,No Children,0,35,3,0,75,3.52,69.34090878718474,43,1,1,13,12,60.7,61.9,63.6,65138.0,11437,2613,0
EMP_100025,33,Female,UK,Finance,Financial Analyst,Master,Tier 2,No Children,1,28,0,0,50,2.69,81.38616229722817,36,1,1,8,31,63.4,59.2,67.5,60442.0,5380,744,0
EMP_100026,43,Male,Canada,Operations,Supply Coordinator,Master,Tier 3,No Children,1,28,1,0,50,4.3,61.3304366263154,27,2,0,10,0,67.8,54.0,60.9,49823.0,6492,0,1
EMP_100027,22,Male,Spain,Finance,Accountant,Master,Tier 3,Parent,0,35,1,0,0,5.0,56.14288316832032,43,1,0,9,19,64.1,76.2,84.7,,2631,0,0
EMP_100028,43,Female,France,IT,Backend Developer,Bachelor,Tier 3,No Children,0,35,0,2,50,3.23,63.90914645378494,0,1,0,8,13,65.2,66.1,59.8,72203.0,6251,7967,0
EMP_100029,37,Male,Spain,Marketing,Growth Manager,Master,Tier 2,No Children,0,35,5,0,0,3.51,28.235452874104823,54,1,0,10,14,63.5,74.2,69.4,46040.0,2597,0,0
EMP_100030,35,Female,USA,Data,ML Engineer,Master,Tier 1,No Children,0,28,6,0,25,2.84,78.69497645258582,30,3,0,15,10,50.6,52.9,80.1,58283.0,2213,3947,0
EMP_100031,22,Female,Canada,Marketing,SEO Manager,PhD,Tier 3,No Children,1,35,1,0,25,1.88,69.71341472993059,37,1,0,19,26,53.8,62.9,44.0,45034.0,0,1655,0
EMP_100032,31,Female,Canada,Customer Support,Customer Success Manager,PhD,Tier 3,Parent,0,35,8,0,0,2.11,48.80634549896448,23,0,0,18,23,48.4,65.1,27.9,,0,0,0
EMP_100033,45,Male,Spain,Customer Support,Support Agent,Bachelor,Tier 2,Parent,0,35,8,1,25,3.53,42.65664160882595,52,1,0,8,43,58.7,85.7,58.0,61025.0,6779,7917,0
EMP_100034,29,Female,Canada,HR,HRBP,PhD,Tier 2,No Children,0,35,4,2,0,3.97,77.27992939564898,58,1,0,14,31,62.1,82.2,42.4,64327.0,8305,9881,0
EMP_100035,42,Female,USA,Sales,Business Developer,Bachelor,Tier 1,No Children,0,28,10,0,50,3.34,64.08459120129807,37,0,0,22,33,68.7,64.8,25.0,72687.0,7955,141,1
EMP_100036,47,Non-Binary,Spain,Operations,Supply Coordinator,Master,Tier 3,Parent,0,35,2,0,50,4.51,60.15709959270097,27,0,0,16,8,52.3,62.2,49.5,59903.0,1797,2952,1
EMP_100037,34,Male,USA,Finance,Financial Analyst,PhD,Tier 2,Parent,0,35,0,3,25,3.67,60.23699523637664,24,0,1,8,30,61.3,71.9,61.5,92291.0,8414,13870,0
EMP_100038,57,Male,France,Customer Support,Support Agent,Master,Tier 2,No Children,1,35,10,0,0,3.6,73.01685184980538,46,0,0,28,4,57.7,69.7,66.5,52894.0,4902,0,0
EMP_100039,46,Female,Canada,Data,ML Engineer,Bachelor,Tier 3,Parent,0,35,3,1,50,4.13,74.08426389710569,47,3,0,8,23,68.1,61.0,61.6,69387.0,5637,8835,0
EMP_100040,37,Male,UK,HR,Talent Manager,Master,Tier 2,Parent,0,35,6,0,25,3.78,68.71931075424658,56,1,1,0,12,66.9,74.8,57.5,54597.0,2267,3585,0
EMP_100041,22,Female,UK,Data,Data Engineer,Bachelor,Tier 2,No Children,0,35,1,1,0,3.66,42.4850967209187,27,2,0,12,33,71.2,85.5,52.2,61672.0,4589,6899,0
EMP_100042,44,Male,USA,Customer Support,Customer Success Manager,Bachelor,Tier 2,No Children,1,35,4,0,25,3.64,74.85129828730676,45,2,0,11,20,72.1,65.5,73.4,41141.0,8694,0,0
EMP_100043,23,Female,Canada,IT,DevOps Engineer,Bachelor,Tier 1,No Children,0,35,2,0,50,3.24,83.3528228369849,15,2,0,7,13,84.0,62.3,66.7,62975.0,2409,112,0
EMP_100044,34,Male,Spain,Sales,Business Developer,Master,Tier 3,No Children,0,28,2,0,50,4.38,81.86950524369153,36,3,0,9,19,74.5,60.9,72.5,61008.0,11428,0,0
EMP_100045,37,Male,UK,Data,Data Analyst,Master,Tier 2,Parent,0,35,0,1,75,3.03,68.570052172523,37,0,0,16,4,69.0,68.9,43.8,79443.0,2678,606,1
EMP_100046,38,Male,France,HR,Recruiter,Master,Tier 3,Parent,0,35,11,0,75,3.96,70.68911906640027,44,2,0,3,21,62.1,45.5,58.1,61859.0,8135,0,0
EMP_100047,38,Male,Germany,Sales,Business Developer,Bachelor,Tier 3,No Children,1,35,7,0,75,3.34,69.15232836590383,11,0,1,5,15,80.0,65.6,55.3,65504.0,4275,6230,0
EMP_100048,45,Female,Canada,Data,Data Analyst,Bachelor,Tier 1,No Children,1,28,7,0,0,3.61,52.47567703201801,31,1,0,19,28,63.5,78.0,27.2,78973.0,5899,3324,0
EMP_100049,26,Female,Spain,Finance,Financial Analyst,Master,Tier 3,Parent,0,35,2,1,25,4.74,82.44448293671195,40,1,1,11,36,62.4,62.1,75.7,55785.0,5370,2737,1
EMP_100050,35,Male,USA,HR,Talent Manager,Master,Tier 3,Parent,0,35,7,2,75,4.13,76.54925458012073,47,1,0,12,23,65.2,60.0,43.5,89167.0,4592,7025,0
EMP_100051,22,Male,UK,IT,Frontend Developer,Master,Tier 3,No Children,0,28,1,0,50,4.11,50.64883662422077,7,1,0,19,24,70.9,69.3,65.2,55487.0,4751,0,0
EMP_100052,29,Female,Spain,IT,DevOps Engineer,Bachelor,Tier 2,Parent,0,28,4,0,25,4.46,79.5962478376629,24,0,0,26,9,61.5,81.0,37.1,57154.0,1760,4192,1
EMP_100053,35,Male,France,Sales,Sales Executive,Master,Tier 2,No Children,0,35,8,0,75,3.5,49.34205146913072,22,1,1,15,8,67.4,52.5,91.4,61973.0,6530,0,0
EMP_100054,47,Male,France,Finance,Accountant,Master,Tier 2,No Children,1,28,14,0,25,2.84,92.58675208166102,65,2,0,10,24,81.3,63.2,55.6,71709.0,2692,0,0
EMP_100055,24,Female,France,Data,Data Engineer,Master,Tier 2,No Children,0,35,3,2,75,2.31,78.42496851165312,70,1,0,11,26,65.4,61.4,58.6,74971.0,5664,7288,0
EMP_100056,45,Male,Canada,HR,HRBP,Master,Tier 1,Parent,1,35,9,2,25,3.75,86.40575089955227,21,1,1,7,34,74.6,70.0,46.8,72182.0,7298,6689,0
EMP_100057,22,Female,Spain,Customer Support,Support Agent,Bachelor,Tier 3,No Children,1,28,1,3,100,3.99,76.52661509384231,45,0,0,20,28,43.6,80.5,40.7,72981.0,5163,15592,1
EMP_100058,58,Female,USA,Operations,Operations Manager,Master,Tier 2,No Children,0,28,4,1,25,3.44,75.94539131535096,33,0,0,28,13,58.6,61.6,51.4,71615.0,9385,4359,0
EMP_100059,49,Non-Binary,Spain,Finance,Accountant,Bachelor,Tier 1,No Children,0,35,6,3,25,3.46,68.23530070693403,21,3,0,3,41,46.3,79.5,39.9,85988.0,8503,17277,0
EMP_100060,30,Male,UK,Operations,Supply Coordinator,Master,Tier 1,No Children,0,28,0,0,25,3.0,67.53591504266564,0,1,0,23,12,56.2,64.9,78.9,38768.0,0,4413,1
EMP_100061,34,Female,Germany,Customer Support,Support Agent,Bachelor,Tier 3,No Children,1,35,2,1,50,4.13,89.15852007507738,56,2,0,3,22,60.9,81.3,56.0,51433.0,4825,3635,0
EMP_100062,28,Male,Spain,Finance,Financial Analyst,Master,Tier 2,No Children,0,28,7,0,50,4.23,78.784299659976,52,1,0,9,21,55.7,67.6,70.9,59099.0,4843,4366,0
EMP_100063,52,Female,USA,IT,Backend Developer,Bachelor,Tier 2,No Children,0,35,1,0,100,3.65,64.68119564621342,30,2,1,5,21,51.5,67.9,69.6,55298.0,6412,3520,0
EMP_100064,39,Female,France,Finance,Financial Analyst,Master,Tier 3,Parent,0,35,2,1,25,2.07,69.17644098527964,67,3,0,12,19,47.5,66.6,65.2,71838.0,6931,1412,0
EMP_100065,40,Female,France,IT,Backend Developer,Master,Tier 2,Parent,0,28,5,1,0,3.41,61.18715662532726,20,2,0,25,26,39.0,86.7,61.7,65069.0,8705,3281,0
EMP_100066,55,Female,France,IT,Frontend Developer,Master,Tier 2,Parent,0,35,4,0,50,3.94,59.732214255072,20,0,0,17,29,65.6,63.2,54.6,49732.0,3397,0,0
EMP_100067,22,Male,Canada,Finance,Controller,Master,Tier 2,Parent,0,28,1,3,100,3.84,85.21113995287409,29,1,0,10,16,60.4,55.9,63.6,86914.0,5555,10215,0
EMP_100068,40,Female,USA,Customer Support,Support Agent,Bachelor,Tier 1,Parent,0,28,3,0,50,4.33,79.67163779189026,41,0,1,19,25,57.2,54.7,34.3,43253.0,2796,0,1
EMP_100069,27,Male,USA,HR,Talent Manager,Bachelor,Tier 2,No Children,0,35,3,0,100,3.39,69.00486075837308,44,1,0,13,6,47.9,59.5,50.6,62888.0,5271,1043,0
EMP_100070,32,Male,UK,Customer Support,Support Agent,Master,Tier 2,No Children,1,35,3,0,100,3.52,62.494582413750166,20,1,0,9,12,79.1,69.2,51.5,39135.0,3352,4191,0
